Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",3536,12558,436,12499,10816,12566
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",103,13811,20,7007,773,13677
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",20,9625,20,1611,103,12010
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",20,269,20,20,20,1315
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",20,187,20,20,20,145
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,20,20,20,20,20
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,20,20,20,20,20
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,20
GriddedMappablePoint,"[-180, -90, 180, 90]",2488,4435,395,4425,4377,4453
GriddedMappablePoint,"[113, -43, 153, -10]",4124,215444,436,182241,37626,215532
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4165,980284,436,340691,40878,997910
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",4205,4087279,436,416874,41795,33882792
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",4205,4168603,436,417803,41795,40690842
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",4205,4179969,436,417928,41795,41797983
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",4205,4179969,436,417928,41795,41797983
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",4205,4179969,436,417928,41795,41797983
BoundMappablePoint,"[-180, -90, 180, 90]",4205,4179969,436,417928,41795,41797983
BoundMappablePoint,"[113, -43, 153, -10]",143,86782,20,9427,856,847016
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",20,19313,20,1694,103,172338
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",20,269,20,20,20,1399
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",20,187,20,20,20,145
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,20,20,20,20,20
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,20,20,20,20,20
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,20
MappablePoint,"[-180, -90, 180, 90]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[113, -43, 153, -10]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",4205,4179969,436,417928,41795,41797983
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",2488,4434,395,4426,4378,4453
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",103,4992,20,4194,729,5034
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",20,4822,20,1526,103,5416
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",20,269,20,20,20,1147
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",20,187,20,20,20,145
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,20,20,20,20,20
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,20,20,20,20,20
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,20
