Strategy,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,1.264762,852.27572,0.220664,113.636024,10.702753,9654.719017
GriddedMappablePoint,1.2e-05,1.6e-05,1.2e-05,1.4999999999999999e-05,1.4e-05,1.4999999999999999e-05
BoundMappablePoint,1.2e-05,1.6e-05,1.1e-05,1.4999999999999999e-05,1.4e-05,1.6e-05
MappablePoint,1.2e-05,1.4999999999999999e-05,1.3e-05,1.4999999999999999e-05,1.2e-05,1.4999999999999999e-05
GriddedAndBoundMappablePoint,1.2e-05,1.4999999999999999e-05,1.2e-05,1.4999999999999999e-05,1.4e-05,1.4999999999999999e-05
