Strategy,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,0.634273,153.597471,0.16641799999999998,21.72394,3.6304819999999998,1729.684907
GriddedMappablePoint,1.2e-05,1.4999999999999999e-05,1.2e-05,1.4999999999999999e-05,1.4e-05,1.4999999999999999e-05
BoundMappablePoint,1.3e-05,1.6e-05,1.3e-05,1.4e-05,1.4e-05,1.6e-05
MappablePoint,1.2e-05,1.4e-05,1.2e-05,1.4999999999999999e-05,1.4e-05,1.4999999999999999e-05
GriddedAndBoundMappablePoint,1.2e-05,1.7e-05,1.2e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.6e-05
