Strategy,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,1.13251,558.303491,0.217658,70.771118,8.332264,4948.623948
GriddedMappablePoint,1.4e-05,1.4e-05,1.4e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.6e-05
BoundMappablePoint,1.4e-05,1.8999999999999998e-05,1.4999999999999999e-05,1.4e-05,1.4999999999999999e-05,1.4999999999999999e-05
MappablePoint,1.4e-05,1.4999999999999999e-05,1.4e-05,1.4e-05,1.4999999999999999e-05,1.4999999999999999e-05
GriddedAndBoundMappablePoint,1.4999999999999999e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4999999999999999e-05
