Tue Sep 17 10:32:53 UTC 2013	2201124
Tue Sep 17 10:32:54 UTC 2013	2201512
Tue Sep 17 10:32:55 UTC 2013	2201504
Tue Sep 17 10:32:56 UTC 2013	2220044
Tue Sep 17 10:32:57 UTC 2013	2225468
Tue Sep 17 10:32:58 UTC 2013	2227352
Tue Sep 17 10:32:59 UTC 2013	2229320
Tue Sep 17 10:33:00 UTC 2013	2232296
Tue Sep 17 10:33:01 UTC 2013	2235488
Tue Sep 17 10:33:02 UTC 2013	2237192
Tue Sep 17 10:33:03 UTC 2013	2237688
Tue Sep 17 10:33:04 UTC 2013	2237680
Tue Sep 17 10:33:05 UTC 2013	2238052
Tue Sep 17 10:33:06 UTC 2013	2238548
Tue Sep 17 10:33:07 UTC 2013	2239416
Tue Sep 17 10:33:08 UTC 2013	2242144
Tue Sep 17 10:33:09 UTC 2013	2246856
Tue Sep 17 10:33:10 UTC 2013	2250584
Tue Sep 17 10:33:11 UTC 2013	2253932
Tue Sep 17 10:33:12 UTC 2013	2258016
Tue Sep 17 10:33:13 UTC 2013	2263472
Tue Sep 17 10:33:14 UTC 2013	2267192
Tue Sep 17 10:33:15 UTC 2013	2271284
Tue Sep 17 10:33:16 UTC 2013	2275260
Tue Sep 17 10:33:17 UTC 2013	2278112
Tue Sep 17 10:33:18 UTC 2013	2279716
Tue Sep 17 10:33:19 UTC 2013	2278600
Tue Sep 17 10:33:20 UTC 2013	2302532
Tue Sep 17 10:33:21 UTC 2013	2322000
Tue Sep 17 10:33:22 UTC 2013	2327084
Tue Sep 17 10:33:23 UTC 2013	2312080
Tue Sep 17 10:33:24 UTC 2013	2312328
Tue Sep 17 10:33:25 UTC 2013	2312948
Tue Sep 17 10:33:26 UTC 2013	2313684
Tue Sep 17 10:33:27 UTC 2013	2314676
Tue Sep 17 10:33:28 UTC 2013	2315784
Tue Sep 17 10:33:29 UTC 2013	2316652
Tue Sep 17 10:33:30 UTC 2013	2316876
Tue Sep 17 10:33:31 UTC 2013	2315016
Tue Sep 17 10:33:32 UTC 2013	2315148
Tue Sep 17 10:33:33 UTC 2013	2315148
Tue Sep 17 10:33:34 UTC 2013	2315388
Tue Sep 17 10:33:35 UTC 2013	2315760
Tue Sep 17 10:33:36 UTC 2013	2316380
Tue Sep 17 10:33:37 UTC 2013	2317000
Tue Sep 17 10:33:39 UTC 2013	2317612
Tue Sep 17 10:33:40 UTC 2013	2318232
Tue Sep 17 10:33:41 UTC 2013	2319100
Tue Sep 17 10:33:42 UTC 2013	2321952
Tue Sep 17 10:33:43 UTC 2013	2321952
Tue Sep 17 10:33:44 UTC 2013	2319596
Tue Sep 17 10:33:45 UTC 2013	2319596
Tue Sep 17 10:33:46 UTC 2013	2318108
Tue Sep 17 10:33:47 UTC 2013	2318100
Tue Sep 17 10:33:48 UTC 2013	2318100
Tue Sep 17 10:33:49 UTC 2013	2318348
Tue Sep 17 10:33:50 UTC 2013	2318968
Tue Sep 17 10:33:51 UTC 2013	2319580
Tue Sep 17 10:33:52 UTC 2013	2320324
Tue Sep 17 10:33:53 UTC 2013	2320696
Tue Sep 17 10:33:54 UTC 2013	2321440
Tue Sep 17 10:33:55 UTC 2013	2322680
Tue Sep 17 10:33:56 UTC 2013	2323052
Tue Sep 17 10:33:57 UTC 2013	2310404
Tue Sep 17 10:33:58 UTC 2013	2310404
Tue Sep 17 10:33:59 UTC 2013	2320076
Tue Sep 17 10:34:00 UTC 2013	2320820
Tue Sep 17 10:34:01 UTC 2013	2321688
Tue Sep 17 10:34:02 UTC 2013	2322308
Tue Sep 17 10:34:03 UTC 2013	2323052
Tue Sep 17 10:34:04 UTC 2013	2323548
Tue Sep 17 10:34:05 UTC 2013	2324416
Tue Sep 17 10:34:06 UTC 2013	2327888
Tue Sep 17 10:34:07 UTC 2013	2325284
Tue Sep 17 10:34:08 UTC 2013	2325284
Tue Sep 17 10:34:09 UTC 2013	2325292
Tue Sep 17 10:34:10 UTC 2013	2325540
Tue Sep 17 10:34:11 UTC 2013	2326276
Tue Sep 17 10:34:12 UTC 2013	2326896
Tue Sep 17 10:34:13 UTC 2013	2327640
Tue Sep 17 10:34:14 UTC 2013	2328136
Tue Sep 17 10:34:15 UTC 2013	2328756
Tue Sep 17 10:34:16 UTC 2013	2331236
Tue Sep 17 10:34:17 UTC 2013	2330748
Tue Sep 17 10:34:18 UTC 2013	2330624
Tue Sep 17 10:34:19 UTC 2013	2338552
Tue Sep 17 10:34:20 UTC 2013	2343884
Tue Sep 17 10:34:21 UTC 2013	2344752
Tue Sep 17 10:34:22 UTC 2013	2345496
Tue Sep 17 10:34:23 UTC 2013	2330104
Tue Sep 17 10:34:24 UTC 2013	2330972
Tue Sep 17 10:34:25 UTC 2013	2331832
Tue Sep 17 10:34:26 UTC 2013	2333328
Tue Sep 17 10:34:27 UTC 2013	2334304
Tue Sep 17 10:34:28 UTC 2013	2334304
Tue Sep 17 10:34:29 UTC 2013	2350672
Tue Sep 17 10:34:30 UTC 2013	2370636
Tue Sep 17 10:34:31 UTC 2013	2371380
Tue Sep 17 10:34:32 UTC 2013	2372256
Tue Sep 17 10:34:33 UTC 2013	2372868
Tue Sep 17 10:34:34 UTC 2013	2373620
Tue Sep 17 10:34:35 UTC 2013	2374232
Tue Sep 17 10:34:36 UTC 2013	2375472
